statusCode,statusMessage,facilityId,addressName,croppingSerlNo,itemCode,itemName,croppingDate,croppingEndDate,acqAutoYn,acqManlYn,acqCultiYn,acqMgmtYn
,,PF_0010066_01,전북특별자치도 정읍시,3361,080300,토마토,2020-08-20,2021-07-20,Y,Y,Y,N
,,PF_0010059_01,경상남도 사천시,3394,080300,토마토,2020-08-20,2021-07-15,Y,Y,Y,N
,,PF_0010019_01,전북특별자치도 정읍시,4066,080300,토마토,2020-08-25,2021-06-30,Y,Y,Y,N
,,PF_0010014_01,전북특별자치도 임실군,3236,080300,토마토,2020-08-26,2021-05-30,Y,Y,Y,N
,,PF_0010076_01,전북특별자치도 김제시,3380,080300,토마토,2020-09-15,2021-06-15,Y,Y,Y,N
,,PF_0020356_01,전라남도 화순군,3300,080300,토마토,2020-09-25,2021-07-20,Y,Y,Y,N
,,PF_0020738_01,경기도 평택시,4077,080300,토마토,2020-09-25,2021-04-30,Y,Y,Y,N
,,PF_0010075_01,전북특별자치도 김제시,3460,080300,토마토,2020-09-30,2021-06-30,Y,Y,Y,N
,,PF_0006043_01,부산광역시 강서구,3349,080300,토마토,2020-10-01,2021-06-30,Y,Y,Y,N
,,PF_0010057_01,충청남도 부여군,3383,080300,토마토,2020-10-04,2021-05-16,Y,Y,Y,N
,,PF_0001405_01,경상남도 사천시,3410,080300,토마토,2020-10-05,2021-06-30,Y,Y,Y,N
,,PF_0010054_01,전북특별자치도 임실군,3350,080300,토마토,2020-10-10,2021-05-30,Y,Y,Y,N
,,PF_0020745_01,전북특별자치도 김제시,4434,080300,토마토,2020-10-24,2021-06-01,Y,Y,Y,N
,,PF_0006024_01,충청남도 예산군,3648,080300,토마토,2020-10-26,2021-05-10,Y,Y,Y,N
,,PF_0006025_01,충청남도 예산군,3665,080300,토마토,2020-10-26,2021-09-01,Y,Y,Y,N
,,PF_0006042_01,부산광역시 강서구,3227,080300,토마토,2020-10-30,2021-09-30,Y,Y,Y,N
,,PF_0006023_01,충청남도 예산군,3669,080300,토마토,2020-11-11,2021-05-31,Y,Y,Y,N
00,NORMAL_CODE,PF_0010071_01,충청남도 부여군,4419,080300,토마토,2021-01-12,2021-06-30,Y,Y,Y,N
,,PF_0010056_01,충청남도 부여군,4420,080300,토마토,2021-01-12,2021-06-30,Y,Y,Y,N
,,PF_0010076_01,전북특별자치도 김제시,4430,080300,토마토,2021-01-25,2021-07-30,Y,Y,Y,N
,,PF_0020763_01,충청남도 부여군,4431,080300,토마토,2021-01-30,2021-07-30,Y,Y,Y,N
,,PF_0020748_01,전북특별자치도 김제시,4514,080300,토마토,2021-02-03,2021-08-31,Y,Y,Y,N
,,PF_0020761_01,전라남도 함평군,4425,080300,토마토,2021-02-22,2021-07-10,Y,Y,Y,N
,,PF_0020974_01,경기도 여주시,4504,080300,토마토,2021-02-27,2021-07-31,Y,Y,Y,N
,,PF_0020758_01,경상남도 사천시,4423,080300,토마토,2021-03-01,2021-08-31,Y,Y,Y,N
